Segment,Kilometers_Driven,Miles_Driven,Mileage,Engine,Power,Seats,Price
non-luxury segment,64430,40035,20.54,1598,103.6,5,15876 
luxury segment,28352,17617,11.7,1796,178,5,59388 
luxury segment,58000,36040,11.74,1796,186,5,59388 
luxury segment,30500,18952,11.74,1796,186,5,59388 
non-luxury segment,52001,32312,14.28,1798,138.03,5,25302 
non-luxury segment,87615,54441,14.53,1798,138.1,5,25302 
non-luxury segment,71088,44172,13.5,1799,130,5,16296 
non-luxury segment,88578,55040,13.5,1799,130,5,16296 
luxury segment,40670,25271,15.2,1968,140.8,5,63768
luxury segment,64103,39832,15.73,1968,174.33,5,53760 
luxury segment,37542,23328,15.73,1968,174.33,5,53760 
luxury segment,65664,40802,16.55,1968,140,5,63768 
luxury segment,13648,8480,17.11,1968,174.33,5,63768 
luxury segment,48214,29959,17.11,1968,174.33,5,63768 
luxury segment,48367,30054,17.68,1968,174.33,5,80520 
luxury segment,62500,38836,17.68,1968,174.33,5,80520 
luxury segment,40000,24855,17.68,1968,174.33,5,80520 
luxury segment,31652,19668,17.68,1968,174.33,5,80520 
luxury segment,61726,38355,17.68,1968,174.33,5,80520 
luxury segment,51495,31997,17.68,1968,174.33,5,80520 
luxury segment,56000,34797,18.53,1968,187.74,5,80520 
luxury segment,79271,49257,20.38,1968,143,5,51468 
luxury segment,55985,34787,13.53,1984,177.01,5,80520 
luxury segment,32700,20319,23.3,1984,150,5,45480 
non-luxury segment,58005,36043,14.9,1991,112.2,5,26124 
non-luxury segment,121812,75690,13.29,1995,147.6,5,13596 
luxury segment,89616,55685,16.07,1995,181,5,65316 
luxury segment,75000,46603,16.73,1995,218,5,81444 
luxury segment,82002,50954,17.05,1995,184,5,57816 
luxury segment,64000,39768,18.48,1995,177,5,81444 
luxury segment,31821,19773,20.58,1995,143,5,66084 
luxury segment,48000,29826,21.76,1995,190,5,73056 
luxury segment,30717,19087,21.76,1995,190,5,70404 
luxury segment,51000,31690,22.48,1995,190,5,83364 
luxury segment,32982,20494,22.69,1995,190,5,57444 
luxury segment,56087,34851,22.69,1995,190,5,65316 
non-luxury segment,230000,142915,12.4,1998,132,8,28812 
luxury segment,8350,5188,13.8,1998,192,5,53508 
luxury segment,8525,5297,16.6,1998,112,5,50544 
luxury segment,26327,16359,16.82,1998,189.08,4,53136 
luxury segment,9000,5592,13.5,1999,246.74,5,64464 
non-luxury segment,46374,28815,14.62,1999,149.92,5,28368 
luxury segment,21000,13049,19.33,1999,177,5,87168 
luxury segment,37382,23228,13,2143,201.1,5,104364 
luxury segment,59364,36887,14.21,2143,203,5,104364 
luxury segment,78500,48778,14.84,2143,167.62,5,59388 
luxury segment,35299,21934,14.84,2143,170,5,59388 
luxury segment,53753,33401,15,2143,107.3,5,44436 
luxury segment,33900,21064,15,2143,204,5,104364 
luxury segment,44414,27598,17.9,2143,170,5,76566 
luxury segment,48000,29826,17.9,2143,136,5,50328 
luxury segment,29000,18020,17.9,2143,201.15,5,95316 
luxury segment,38000,23612,17.9,2143,136,5,50328 
luxury segment,44965,27940,19.27,2143,170,5,59388 
luxury segment,23550,14633,19.27,2143,167.62,5,59388 
luxury segment,29161,18120,19.27,2143,167.62,5,59388
luxury segment,55980,34784,19.27,2143,167.62,5,59388 
luxury segment,77771,48325,19.27,2143,170,5,59388 
luxury segment,65000,40389,15.8,2148,170,5,59388 
luxury segment,57000,35418,15.8,2148,170,5,59388 
luxury segment,25000,15534,15.8,2148,170,5,59388 
non-luxury segment,42000,26098,12.05,2179,120,8,22638 
luxury segment,72000,44739,12.7,2179,187.7,5,144000 
luxury segment,36091,22426,12.7,2179,187.7,5,144000 
luxury segment,44000,27340,12.7,2179,187.7,5,144000 
luxury segment,56000,34797,12.7,2179,187.7,5,144000 
luxury segment,34990,21742,12.7,2179,187.7,5,144000 
luxury segment,95649,59434,12.7,2179,187.7,5,144000 
non-luxury segment,55729,34628,15.1,2179,140,7,22638 
non-luxury segment,58000,36040,15.1,2179,140,7,22638 
non-luxury segment,65000,40389,16,2179,140,7,22638 
non-luxury segment,54000,33554,16,	2179,140,7,22638
non-luxury segment,47700,29639,10.8,2354,152,5,40212
non-luxury segment,22000,13670,13.68,2393,147.8,8,23208 
non-luxury segment,110000,68351,13.5,2477,175.56,7,38412 
non-luxury segment,262000,162799,12.8,2494,102,7,28812 
non-luxury segment,104000,64623,12.8,2494,102,7,28812 
non-luxury segment,55000,34175,12.99,2494,100.6,7,28812 
luxury segment,128000,79535,10.8,2497,215,5,81444 
non-luxury segment,75800,47100,16.55,2498,105,6,13668 
non-luxury segment,70704,43933,11.25,2694,163.7,7,22368 
non-luxury segment,72000,44739,11.18,2696,184,7,22638 
luxury segment,35000,21748,12.4,2698,179.5,5,80520 
non-luxury segment,36000,22369,11.36,2755,171.5,8,25200 
non-luxury segment,30000,18641,11.36,2755,171.5,7,32400 
luxury segment,23000,14292,11.05,2894,444,4,153600 
luxury segment,56000,34797,11.8,2967,246.7,5,63768 
luxury segment,11287,7013,12.07,2967,241.4,7,122352 
luxury segment,99000,61516,12.07,2967,241.4,7,122352 
luxury segment,97430,60540,14.75,2967,245,7,124800 
luxury segment,30000,18641,14.94,2967,241.4,5,63768 
non-luxury segment,107000,66487,13,2982,168.5,7,44604 
luxury segment,29819,18529,11.57,2987,254.79,5,114156 
luxury segment,85000,52817,11.74,2987,254.8,5,59388 
luxury segment,85001,52817,12,2987,224,7,59388 
luxury segment,56451,35077,13.5,2987,282,5,59388 
luxury segment,30000,18641,9.52,2993,313,4,66084 
luxury segment,90000,55923,11,2993,235,5,66084 
luxury segment,78000,48467,14.74,2993,270.9,5,83610
luxury segment,75000,46603,14.74,2993,270.9,5,83610
luxury segment,41000,25476,15.3,2993,258,5,66084
luxury segment,51982,32300,16.55,2993,258,5,83508
luxury segment,56000,34797,16.73,2993,218,5,81444
luxury segment,13372,8309,19,2996,362.07,2,114048 
luxury segment,73000,45360,8.5,4806,500,5,163200
luxury segment,35277,21920,7.81,5461,362.9,5,59388

 





